contract_id,stars,expected_stars_structural,operational_residual,poverty_exposure,rural_exposure,hpsa_exposure,hhi,entropy,top1_share,top5_share,n_counties,total_enrollment,log_enroll,year_2025
H0028,3.5,3.990395923925931,-0.4903959239259308,12.106836280785503,0.04981555820765978,3.7227337770222833,0.03426889953936811,4.100433836180676,0.12158511446240643,0.3320386242812195,225.0,368680.0,12.8176843381076,1
H0074,3.0,3.229481089624921,-0.2294810896249211,18.729689521345406,0.32858990944372585,3.2069857697283313,0.08687360780815659,3.0139796767417186,0.23803363518758086,0.4935316946959897,35.0,1546.0,7.343426229147367,1
H0107,3.5,3.8322119835002892,-0.33221198350028924,12.487413530148705,0.14870090963560106,2.0311951696306827,0.027109527312251972,4.266684499871581,0.06435845768434811,0.27266909922666377,345.0,73448.0,11.204332951823536,0
H0107,3.5,3.830889627388683,-0.3308896273886832,11.93645997284665,0.14424913794139194,2.0328373201965024,0.027171120530407628,4.297218207270596,0.07578906897670339,0.27864617750597737,363.0,83231.0,11.329375153566437,1
H0111,3.0,3.541711482122003,-0.541711482122003,13.12062762605041,0.11935399159663854,0.14141281512605042,0.03724981490758073,3.7971227938662095,0.07878151260504201,0.3558298319327731,97.0,7616.0,8.938006576471201,1
H0174,3.0,3.9270455155890858,-0.9270455155890858,14.174731345216005,0.030440349287183685,1.0983700890480916,0.16948005960150508,2.404951460410733,0.3452735459554328,0.7155927668205947,41.0,69513.0,11.149269064420858,0
H0174,3.5,3.8908458665995704,-0.39084586659957044,13.978793113630989,0.03298488069926765,1.0645523269548784,0.15801285098635812,2.4906763431482206,0.3250059059768486,0.6999025513819985,49.0,67728.0,11.123254962760704,1
H0270,3.0,3.3574100595402427,-0.35741005954024274,16.03925925925926,0.3567901234567901,0.0,0.2302088096326779,1.668368100943967,0.37777777777777777,0.9172839506172838,7.0,810.0,6.697034247666484,0
H0270,3.5,3.252789670071873,0.24721032992812697,16.280165289256196,0.36363636363636365,0.0,0.21387712587937982,1.7219010553883616,0.3512396694214876,0.8946280991735537,7.0,484.0,6.182084906716632,1
H0294,3.5,3.984332287575657,-0.48433228757565683,11.259564239745677,0.18482099431157345,1.9573680284014292,0.02797204832432769,4.112547809845532,0.08493871020039896,0.2912587141477581,129.0,141867.0,11.862645277962761,0
H0294,3.0,3.9478663303379524,-0.9478663303379524,11.747569388608367,0.19389412407937473,1.4900548565966911,0.029219515922577734,4.046231517374658,0.07747724568230792,0.28460585983983533,154.0,124372.0,11.731032353566972,1
H0302,3.5,3.5020192440753712,-0.0020192440753712404,10.69788674599918,0.0,13.560320191009877,0.7258573439074845,0.5388112217229334,0.8448570646970319,1.0,3.0,29244.0,10.283429703413207,1
H0321,3.5,3.5736280413093473,-0.0736280413093473,12.160973340738682,0.018328242154956955,13.725615076818396,0.4775324659500536,1.0388854933406055,0.6388919744515412,0.9749514023882255,15.0,72020.0,11.184699137202866,0
H0321,3.5,3.5499918142048403,-0.049991814204840335,11.564344402601847,0.018158735592833503,13.726447523336427,0.47435339143152555,1.045798714015037,0.636311765377154,0.974566358553007,15.0,70104.0,11.157735132735686,1
H0351,3.0,3.2597117874169315,-0.25971178741693146,13.578294849023093,0.041681468324452346,13.466275102748499,0.18521765710702168,1.8997875580286505,0.31338069863824747,0.8687981053878034,13.0,16890.0,9.734477009801846,0
H0351,3.0,3.296707235478871,-0.2967072354788711,12.617733965560271,0.053206887946094336,12.794785858475066,0.16357257753759977,2.11752858622904,0.30237085101073125,0.7849762914898927,19.0,20035.0,9.905236023070245,1
H0422,3.5,3.372649714235419,0.12735028576458118,8.742949756888168,0.0,0.0,0.2529282432641868,1.566173163704052,0.4165316045380875,0.9448946515397083,6.0,617.0,6.424869023905388,0
H0423,3.5,3.5830216689382546,-0.08302166893825458,19.257266896891963,0.0,0.0,0.2599132821853182,1.4012937367935776,0.3448445979279724,0.9999999999999999,5.0,10135.0,9.2237500588861,0
H0423,3.0,3.567682473356073,-0.567682473356073,19.25988897842242,0.0,0.0,0.25773075219284003,1.4142447426435916,0.34309248813680726,1.0,5.0,11169.0,9.320897362540826,1
H0432,3.5,3.7619803590580543,-0.2619803590580543,16.80926107851207,0.3228765632052679,3.3935427342484665,0.04036041323546822,3.693315210165908,0.1156440007434352,0.3602209064599209,67.0,75326.0,11.229580639715225,1
H0473,3.5,3.7318502468415926,-0.2318502468415926,14.44650809981342,0.36322737021988954,4.561215059201006,0.026379084912221355,4.048687302895027,0.0709365790712679,0.28010183619021045,107.0,57347.0,10.95687581081439,0
H0482,3.0,3.5144062831881393,-0.5144062831881393,15.507351856405212,0.03466928940250799,0.0,0.18270783892785752,1.9698517348873827,0.3221047455126629,0.8372264568477993,12.0,4067.0,8.310660905907225,0
H0504,3.5,3.8467858289000607,-0.3467858289000607,12.407521893244368,0.0,4.45209401950778,0.23079782028956145,1.8692249645398955,0.3726803586321935,0.8419516263552962,15.0,76736.0,11.248126238387187,0
H0504,3.5,3.8041898789283497,-0.3041898789283497,12.101056146500664,0.0,4.3337925266048805,0.23876706104767106,1.8488236748911275,0.37341351384020305,0.8465490148676418,15.0,66184.0,11.100194020870019,1
H0523,3.0,3.699479935956952,-0.6994799359569521,10.955863402061858,0.0,1.6527909725989998,0.12455806109841637,2.308161099654911,0.22809278350515463,0.6914304123711341,15.0,15520.0,9.64988479373721,0
H0523,3.0,3.671916776830405,-0.6719167768304048,11.045176791221403,0.0,1.3322825407174983,0.14531746704568618,2.1890540008149455,0.263931722011045,0.7500537904324751,14.0,13943.0,9.54273286919502,1
