contract_id,stars,expected_stars_structural,operational_residual,poverty_exposure,rural_exposure,hpsa_exposure,hhi,entropy,top1_share,top5_share,n_counties,total_enrollment,log_enroll,year_2025
H0028,4.0,4.013891469953752,-0.013891469953751567,12.388441960857019,0.053568685611377405,3.855383260783418,0.033954085654851335,4.158046569820126,0.12737095791731773,0.31880876082523374,256.0,377590.0,12.841564229851953,0
H0028,3.5,3.990395923925931,-0.4903959239259308,12.106836280785503,0.04981555820765978,3.7227337770222833,0.03426889953936811,4.100433836180676,0.12158511446240643,0.3320386242812195,225.0,368680.0,12.8176843381076,1
H0034,2.5,3.2941192485594812,-0.7941192485594812,15.442455043002349,0.04534792806880376,0.0,0.11044533056696829,2.3279296546438926,0.1751368256450352,0.6700547302580141,12.0,1279.0,7.153833801578843,1
H0074,2.5,3.2652840506591043,-0.7652840506591043,18.78492008339125,0.2738012508686588,2.617095205003474,0.10205962077942898,2.7979195855756425,0.26337734537873525,0.5330090340514246,27.0,1439.0,7.271703706887368,0
H0074,3.0,3.229481089624921,-0.2294810896249211,18.729689521345406,0.32858990944372585,3.2069857697283313,0.08687360780815659,3.0139796767417186,0.23803363518758086,0.4935316946959897,35.0,1546.0,7.343426229147367,1
H0088,2.0,3.593359550211977,-1.5933595502119768,16.5,0.0,0.0,1.0,-0.0,1.0,1.0,1.0,1942.0,7.571473648851271,0
H0104,4.0,3.906119895376706,0.09388010462329399,15.579314557431891,0.247695300386231,2.177440726227059,0.04957067336266235,3.559987393052426,0.1527726875475741,0.4149868906994446,67.0,106413.0,11.575083028877385,0
H0104,4.0,3.8940841191139133,0.10591588088608672,14.979812470019642,0.2440152413362416,2.117921241028518,0.05022740138287473,3.54195589248325,0.15242241309089594,0.41996035804469223,67.0,110489.0,11.61267124747345,1
H0107,3.5,3.8322119835002892,-0.33221198350028924,12.487413530148705,0.14870090963560106,2.0311951696306827,0.027109527312251972,4.266684499871581,0.06435845768434811,0.27266909922666377,345.0,73448.0,11.204332951823536,0
H0107,3.5,3.830889627388683,-0.3308896273886832,11.93645997284665,0.14424913794139194,2.0328373201965024,0.027171120530407628,4.297218207270596,0.07578906897670339,0.27864617750597737,363.0,83231.0,11.329375153566437,1
H0111,2.5,3.5658852430319605,-1.0658852430319605,14.48262798634812,0.12309442548350392,0.2221843003412969,0.03566473951032883,3.840945675275208,0.07724687144482366,0.34357224118316265,102.0,8790.0,9.081369990679223,0
H0111,3.0,3.541711482122003,-0.541711482122003,13.12062762605041,0.11935399159663854,0.14141281512605042,0.03724981490758073,3.7971227938662095,0.07878151260504201,0.3558298319327731,97.0,7616.0,8.938006576471201,1
H0154,5.0,3.867695784519399,1.132304215480601,15.446278334494396,0.11051569226372289,1.776449993748102,0.1315937460018479,2.76790797860262,0.3283675401461158,0.5628137113052177,38.0,55983.0,10.932803352201582,0
H0154,4.0,3.8500133308351474,0.1499866691648526,14.563111726685126,0.10995383194829175,1.7179316712834716,0.13009582935810637,2.767892806593769,0.32568790397045244,0.5600554016620498,38.0,54150.0,10.899513252429136,1
H0169,5.0,3.935739581337045,1.064260418662955,12.57344800205776,0.3322522562823624,0.6675576232707429,0.01984315821629821,4.6913625373317585,0.062035183466231256,0.2567520717536934,292.0,89417.0,11.401066099683684,0
H0169,4.0,3.9211562892050287,0.07884371079497132,12.716418198828524,0.3374145785876993,0.6593516108037749,0.019233555764272867,4.711733808516342,0.06450333550276603,0.24615603644646925,299.0,98336.0,11.496145464930212,1
H0174,3.0,3.9270455155890858,-0.9270455155890858,14.174731345216005,0.030440349287183685,1.0983700890480916,0.16948005960150508,2.404951460410733,0.3452735459554328,0.7155927668205947,41.0,69513.0,11.149269064420858,0
H0174,3.5,3.8908458665995704,-0.39084586659957044,13.978793113630989,0.03298488069926765,1.0645523269548784,0.15801285098635812,2.4906763431482206,0.3250059059768486,0.6999025513819985,49.0,67728.0,11.123254962760704,1
H0251,4.0,3.9088501367151567,0.09114986328484331,15.236948775960883,0.3018709441426308,0.7190196848793575,0.03586544244089432,3.972736769354298,0.13184669367184643,0.3344261850893474,95.0,73813.0,11.209290146837182,0
H0251,4.0,3.9104024690519874,0.0895975309480126,14.620317593480335,0.29827420901246393,0.6908437200383509,0.03777546590795231,3.953771319527209,0.13841083413231065,0.3441395014381592,95.0,83440.0,11.331883089674655,1
H0270,3.0,3.3574100595402427,-0.35741005954024274,16.03925925925926,0.3567901234567901,0.0,0.2302088096326779,1.668368100943967,0.37777777777777777,0.9172839506172838,7.0,810.0,6.697034247666484,0
H0270,3.5,3.252789670071873,0.24721032992812697,16.280165289256196,0.36363636363636365,0.0,0.21387712587937982,1.7219010553883616,0.3512396694214876,0.8946280991735537,7.0,484.0,6.182084906716632,1
H0271,4.0,3.9800744901402028,0.01992550985979724,14.503704773197946,0.3359270841653204,2.3025618133944468,0.007455889393424302,5.85320836649034,0.04088507405678394,0.14436563680346307,1041.0,377008.0,12.840021686364155,0
H0292,5.0,3.7307290025989506,1.2692709974010494,9.943126925752907,0.0,0.36656395984494583,0.27306564831774954,1.4065555105831407,0.3683530464168572,1.0,5.0,10061.0,9.21642184229205,0
H0292,4.5,3.687454249630605,0.8125457503693951,9.957339250920112,0.0,0.3723749729378653,0.2726322758942386,1.4077279929881146,0.36685429746698417,1.0,5.0,9238.0,9.13108069099055,1
H0294,3.5,3.984332287575657,-0.48433228757565683,11.259564239745677,0.18482099431157345,1.9573680284014292,0.02797204832432769,4.112547809845532,0.08493871020039896,0.2912587141477581,129.0,141867.0,11.862645277962761,0
